,ExperimentID,Method,Solution,CostFunctionValue,Duration
0,0,ILS,29122.0,31604.0,44.55258
1,0,Heuristic,465675.0,26681.0,0.062458
2,1,ILS,25561.0,29295.0,46.368737
3,1,Heuristic,340710.5,29867.0,0.094008
4,2,ILS,28237.0,28510.0,46.835498
5,2,Heuristic,434492.5,28829.0,0.098037
6,3,ILS,25260.0,26211.0,46.990175
7,3,Heuristic,334860.0,31722.0,0.098315
8,4,ILS,28347.0,29530.0,48.549299
9,4,Heuristic,351693.0,30518.0,0.083984
10,5,ILS,1705182.0,23536.0,47.386197
11,5,Heuristic,2088252.0,29162.0,0.096002
12,6,ILS,27091.0,27689.0,46.905174
13,6,Heuristic,330751.5,29556.0,0.080961
14,7,ILS,30512.0,29182.0,47.738778
15,7,Heuristic,430235.0,30501.0,0.098045
16,8,ILS,1575805.0,20947.0,46.777891
17,8,Heuristic,1692602.0,22606.0,0.070219
18,9,ILS,25469.0,25709.0,46.789205
19,9,Heuristic,122884.0,29066.0,0.095558
