,ExperimentID,Method,Solution,CostFunctionValue,Duration
0,0,ILS,5768360.0,86886.0,84.460402
1,0,Heuristic,10400544.0,77084.0,0.187498
2,1,ILS,2853477.0,86181.0,84.225978
3,1,Heuristic,7381129.5,83130.0,0.206862
4,2,ILS,7094547.0,88782.0,83.768296
5,2,Heuristic,10003653.0,90678.0,0.225989
6,3,ILS,5667155.0,87251.0,84.241928
7,3,Heuristic,8819689.0,83395.0,0.205805
8,4,ILS,2839419.0,87293.0,89.725546
9,4,Heuristic,7269024.0,83561.0,0.192896
10,5,ILS,7000425.0,85837.0,86.093194
11,5,Heuristic,13007260.5,77123.0,0.191423
12,6,ILS,3052962.0,91416.0,85.12403
13,6,Heuristic,5319660.0,90195.0,0.195024
14,7,ILS,5387850.0,81223.0,86.436049
15,7,Heuristic,11975249.0,83986.0,0.189287
16,8,ILS,8400588.0,86166.0,85.266609
17,8,Heuristic,12114315.0,85691.0,0.194904
18,9,ILS,5675995.0,85418.0,87.21868
19,9,Heuristic,9497347.0,85411.0,0.184661
